,0,1,2
127,22.31661842,114.181925,-104.7239124
128,22.31113499,114.1756048,-90.61941569
129,22.30044231,114.18794890000001,-58.11837636
130,22.30473766,114.1863689,-68.60076125
131,22.3005337,114.1892327,-58.37010622
132,22.30135621,114.1773824,-60.48201211
133,22.3149734,114.1909115,-53.38037639
134,22.31926875,114.18073999999999,-119.7391219
135,22.32082239,114.17511100000002,-57.56828873
136,22.31579591,114.1736298,-54.39801312
137,22.31278002,114.1868627,-125.05137930000001
138,22.30885023,114.17985120000002,-55.12933658
139,22.30702242,114.1796537,-55.94211048
140,22.31241446,114.18943020000002,-54.02134216
141,22.31872041,114.18350509999999,-56.90993453
142,22.30793633,114.17125970000001,-100.31565400000001
143,22.30455488,114.16790209999999,-67.07474462
144,22.32530052,114.1685933,-63.28539186
