lats,lons,RSSI
-0.04498,0.0096928,-106.6
-0.028342,-0.02859,-121.93
-0.0024187,0.033973,-68.722
-0.022279,0.10371,-119.6
-0.027513,0.00017446,-106.48
0.042499,0.082587,-101.36
0.0031804,-0.021847,-91.748
0.046586,0.082164,-122.78
0.019161,-0.025004,-65.314
0.0011898,0.0034311,-45.844
-0.017568,0.038338,-95.604
-0.020345,-0.037893,-126.59
-0.0090282,0.10341,-116.46
-0.043234,0.095673,-108.43
-5.34E-05,-0.031219,-116.63
0.015244,0.067243,-95.237
-0.027634,-0.013691,-112.93
0.019145,0.05159,-114.04
-0.013494,-0.088473,-122.6
-0.044315,-0.055306,-116.55
-0.004718,0.0044337,-60.456
-0.056872,-0.078104,-113.66
0.029697,0.077959,-101.82
0.037935,-0.016586,-85.154
-0.010379,0.015562,-60.613
-0.037204,-0.0052444,-102.42
-3.47E-05,-7.33E-05,-24.008
-0.035381,-0.046103,-121.5
-0.050653,0.0042119,-123.64
0.0058508,0.00013124,-52.684
0.0342,0.0085258,-95.79
0.044526,-0.012081,-77.035
-0.07695,0.018133,-112.67
0.033127,-0.079271,-88.729
0.042214,0.070502,-97.92
0.03911,-0.088564,-103.16
-0.011172,0.024551,-83.021
-0.011862,-0.03777,-119.65
-0.083335,0.032331,-104.45
0.012052,-0.0062461,-59.036
0.0052727,0.010377,-56.205
0.039025,0.09713,-75.039
-0.0037671,-0.013046,-80.514
0.051812,-0.057358,-124.14
-0.061273,0.029984,-124.63
0.0031666,0.014232,-70.913
-0.063757,-0.083047,-112.39
0.015869,-0.013426,-62.256
0.00088746,0.030343,-69.2
-0.020915,0.051904,-89.874
0.024545,0.012878,-75.12
-0.036521,-0.071733,-126.61
-0.048755,0.022984,-75.969
0.063278,0.012454,-124.37
-0.0068997,0.0079509,-59.498
-0.017384,0.03006,-101.04
0.08334,-0.0066107,-125.11
-0.075906,0.035391,-97.556
0.044668,-0.040675,-120.56
0.034943,0.037633,-105.15
-0.07273,0.020231,-123.23
-0.049878,0.072683,-96.269
-0.011116,0.0082989,-62.657
0.036311,-0.054761,-96.106
0.067209,0.031388,-100.37
-0.0051557,-0.090746,-111.17
0.0008699,-0.00020762,-36.091
0.010497,0.018753,-61.618
0.032155,0.017301,-73.067
0.028687,0.036647,-113.99
0.080106,0.0064057,-118.12
-0.032357,-0.10426,-112.39
-0.053668,-0.0099587,-106.31
-0.065502,0.0036604,-90.909
0.064125,0.06571,-115.1
0.022437,0.031877,-119.52
0.015846,0.012428,-62.068
