lats,lons,RSSI
0.030146,0.028978,-103.83
0.019606,0.082521,-104.54
-0.0019667,-0.011917,-65.659
0.018056,0.095436,-120.1
7.30E-06,-0.077552,-114.62
0.07827,0.026967,-130.57
0.0084041,-0.074759,-102.48
-0.030713,-0.028571,-120.99
0.017638,0.07506,-100.5
-0.034199,0.037413,-110.01
0.0020716,0.011051,-56.604
-0.04429,-0.049153,-117.56
-0.0034541,-0.11544,-107.64
-0.019955,-0.051239,-118.05
-0.037344,0.0531,-104.55
0.048732,0.028853,-112.99
0.019323,0.0082275,-67.286
0.044325,0.054941,-97.709
-0.012655,0.0083412,-66.115
-0.069335,-0.008648,-102.29
-0.011887,0.020314,-99.04
0.012826,0.011055,-85.322
0.030616,-0.077972,-95.358
-0.016687,-0.021473,-92.109
-0.0083627,-0.016241,-93.156
0.053969,-0.021586,-118.15
-0.022095,0.0060912,-66.345
0.015997,-0.023558,-64.286
-0.0072511,0.10213,-113.59
0.03433,0.013452,-86.858
-0.0092411,0.0023628,-68.453
-0.014418,0.013248,-61.635
0.0078645,-0.042852,-87.867
-0.070978,-0.045752,-111.17
-0.051588,0.021275,-129.63
0.023117,0.0028417,-64.124
-0.032231,0.00061023,-98.077
-0.038425,0.094531,-121.28
-0.0027278,0.10943,-93.055
-0.027026,0.040375,-102.62
-0.00051677,-0.032682,-116.09
0.0018397,0.067295,-120.13
0.0015223,0.021649,-90.902
0.043833,0.086169,-125.71
-0.020302,0.0064894,-66.448
-0.0049951,-0.019291,-102.71
-0.0023593,-0.00061847,-44.426
0.028732,0.0052877,-66.056
0.0039772,0.067293,-127.6
0.050836,0.073045,-109.4
-0.053642,-0.06554,-110.84
0.00020947,0.0029543,-43.726
-0.012247,0.042019,-86.341
-0.00012068,0.059806,-112.29
0.029032,-0.040891,-112.19
-0.0022954,0.0040115,-48.311
-0.029747,-0.0633,-117.23
-0.044735,0.035773,-118.31
0.0029747,-0.036111,-109.99
0.014295,0.049332,-106.66
0.0030307,-0.016101,-97.741
0.024481,-0.015255,-65.785
-0.036631,0.078169,-111.43
-0.0019005,0.0034384,-46.867
-0.019712,-0.01906,-112.55
0.089569,0.003008,-138.33
0.039992,0.0054492,-102.58
-0.0041173,-0.017722,-96.982
0.049706,-0.0843,-74.824
-0.0028208,0.00011493,-45.821
0.0065209,-0.011016,-57.187
0.022454,-0.0029517,-63.876
0.056045,-0.052871,-129.92
-0.032428,0.099989,-113.71
0.01431,-0.019075,-62.871
0.0066345,-0.081383,-100.67
0.073433,0.007374,-122.5
-0.016648,-0.11313,-110.78
0.076174,0.026391,-131.64
0.033991,-0.013424,-69.48
-0.016821,-0.1116,-110.78
-0.0018716,-0.053061,-114.68
8.08E-05,-0.019761,-102.91
-0.014708,0.031988,-100.41
-0.060787,-0.010193,-104.02
-0.049498,0.091689,-116.37
-0.080177,0.03892,-79.204
0.017313,-0.068999,-72.51
0.084956,0.010868,-124.82
0.014874,0.044831,-113.61
0.0036053,-0.0010639,-48.249
0.010989,-0.032496,-118.55
0.00079922,-0.0037302,-45.989
-0.010058,0.10422,-116.8
-0.017244,0.047131,-99.634
-0.0048024,-0.0092288,-59.657
-0.0062193,-0.01449,-87.96
0.014192,0.022308,-63.561
0.01187,-0.021861,-65.023
-0.02741,0.098744,-124.89
0.067005,0.020676,-124.63
0.027209,0.020096,-101.86
0.028388,-0.026766,-105.85
-0.036668,-0.052637,-122.02
0.018908,-0.059851,-102.68
0.015135,-0.035025,-99.208
0.074992,-0.022822,-125.77
-0.013417,0.026719,-67.457
-0.07661,-0.046494,-114.26
0.021359,0.0376,-111.64
0.030763,0.071924,-108.32
0.0020789,0.033321,-66.096
-0.0012284,0.002966,-44.86
0.06254,-0.077088,-114.45
0.022597,-0.057309,-108.11
-0.027642,-0.072516,-114.99
0.050282,0.028924,-112.62
0.0093998,0.090424,-101.03
-0.073914,-0.065119,-112.36
0.016812,-0.085531,-73.11
0.073325,0.032257,-130.91
0.08421,0.03982,-121.48
-0.064052,-0.032025,-117.64
-0.013132,-0.0002881,-88.774
-0.0078917,-0.038209,-110.54
-0.00041873,-0.003454,-45.069
0.034551,-0.070394,-95.086
-0.03021,-0.10913,-110
-0.06508,-0.01075,-107.14
0.063797,-0.024212,-120.01
-0.015334,0.0045724,-69.091
0.014657,0.038412,-127.21
0.0091472,-0.068779,-113.42
0.02449,-0.045087,-94.675
-0.039732,0.085915,-109.94
0.032047,-0.089228,-91.864
